model,term,op,estimate,std.error,statistic,p.value,std.lv,std.all,std.nox,block,group,label,parameter,conf.low,conf.high,method,alternative
cfa11,BSMBS_9u_I3 ~~ BSMBS_9u_I3,~~,1.3578559765702818,0.16818816417273966,8.073433604850337,6.661338147750939e-16,1.3578559765702818,0.7622408072803,0.7622408072803,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_10u_I4 ~~ BSMBS_10u_I4,~~,1.2443843347508883,0.23882495369311776,5.210445204774881,1.8838801540965733e-7,1.2443843347508883,0.6388092670171442,0.6388092670171442,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_11d_I5 ~~ BSMBS_11d_I5,~~,1.2272154167452995,0.19411656020845705,6.322054210250907,2.5810886761234997e-10,1.2272154167452995,0.5396971145635949,0.5396971145635949,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_13d_I6 ~~ BSMBS_13d_I6,~~,1.0477740685081534,0.1851017206433354,5.660531219626339,1.509051306136655e-8,1.0477740685081534,0.5694505809635662,0.5694505809635662,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_14d_I7 ~~ BSMBS_14d_I7,~~,0.8454157382977623,0.18375059311373992,4.600887126249751,4.206953637009292e-6,0.8454157382977623,0.45491626076216374,0.45491626076216374,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_18d_I8 ~~ BSMBS_18d_I8,~~,0.9834424113988696,0.19238465241985944,5.111854812891254,3.190109703066213e-7,0.9834424113988696,0.5936900001257186,0.5936900001257186,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility ~~ Mobility,~~,0.8347909326503056,0.2732773165491637,3.054739204818426,0.0022525630379082173,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Upward =~ BSMBS_4u_I1,=~,1,0,NA,NA,1.184354962356568,0.8627603295298727,0.8627603295298727,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Upward =~ BSMBS_8u_I2,=~,0.8650783948720957,0.05430189348063269,15.930906629998722,0,1.0245598897942212,0.7519719026738529,0.7519719026738529,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Upward =~ BSMBS_9u_I3,=~,0.6533358136008703,0.06438678460441914,10.14704830525159,0,0.7737815129234564,0.5797460106195705,0.5797460106195705,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Upward =~ BSMBS_10u_I4,=~,0.8171440800480799,0.06739678919240241,12.124376989463409,0,0.967788646165236,0.6934082734587137,0.6934082734587137,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Downward =~ BSMBS_11d_I5,=~,1,0,NA,NA,1.0786843492457243,0.715333968006358,0.715333968006358,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Downward =~ BSMBS_13d_I6,=~,0.9088800510001557,0.07490283223633201,12.134121285727547,0,0.9803946863555236,0.7227616655169121,0.7227616655169121,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Downward =~ BSMBS_14d_I7,=~,1.0220142397104144,0.07403862056927285,13.803799042341502,0,1.102430765081892,0.808689464299756,0.808689464299756,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Downward =~ BSMBS_18d_I8,=~,0.8708151175869554,0.08371181909091759,10.402534875525546,0,0.9393346384276239,0.7298364380596979,0.7298364380596979,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_4u_I1 ~~ BSMBS_4u_I1,~~,0.4817481768284555,0.0864415364775539,5.573109831909918,2.5023169980542548e-8,0.4817481768284555,0.2556446137895055,0.2556446137895055,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_8u_I2 ~~ BSMBS_8u_I2,~~,0.8066766593675999,0.09542846247659281,8.453208177439365,0,0.8066766593675999,0.43453825758906556,0.43453825758906556,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_9u_I3 ~~ BSMBS_9u_I3,~~,1.1826609937651216,0.10803787813863798,10.946725483144807,0,1.1826609937651216,0.6638945631706927,0.6638945631706927,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_10u_I4 ~~ BSMBS_10u_I4,~~,1.0113584691275996,0.13822759837700904,7.316617527920645,2.5424107263916085e-13,1.0113584691275996,0.5191849662990056,0.5191849662990056,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_11d_I5 ~~ BSMBS_11d_I5,~~,1.1103384880367284,0.12986871244332435,8.549699670898702,0,1.1103384880367284,0.48829731421627887,0.48829731421627887,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_13d_I6 ~~ BSMBS_13d_I6,~~,0.8788002221541956,0.1273880358960891,6.898608774147647,5.2513549064769904e-12,0.8788002221541956,0.47761557485921935,0.47761557485921935,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_14d_I7 ~~ BSMBS_14d_I7,~~,0.6430459024556733,0.09653867820266365,6.661018303003145,2.719358072056366e-11,0.6430459024556733,0.3460213503305738,0.3460213503305738,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_18d_I8 ~~ BSMBS_18d_I8,~~,0.7741433810670145,0.11517844335349643,6.721252332704965,1.8016921288221965e-11,0.7741433810670145,0.4673387736803327,0.4673387736803327,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Upward ~~ Upward,~~,1.4026966768586275,0.13133832337474183,10.680025759552109,0,1.0000000000000002,1.0000000000000002,1.0000000000000002,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Downward ~~ Downward,~~,1.1635599253076716,0.14705856200639003,7.9122215628431904,2.4424906541753444e-15,0.9999999999999998,0.9999999999999998,0.9999999999999998,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Upward ~~ Downward,~~,-0.6887029493965034,0.10166870568910287,-6.773991512221253,1.2527756609870266e-11,-0.5390830555074897,-0.5390830555074897,-0.5390830555074897,NA,NA,NA,NA,NA,NA,NA,NA
cfa33,Upward =~ BSMBS_4u_I1,=~,1,0,NA,NA,1.1595105373593295,0.8590899670859448,0.8590899670859448,1,1,NA,NA,NA,NA,NA,NA
cfa33,Upward =~ BSMBS_8u_I2,=~,0.8761803343286361,0.07217991500569262,12.13883854337504,0,1.0159403302810739,0.7406035305182525,0.7406035305182525,1,1,NA,NA,NA,NA,NA,NA
cfa33,Upward =~ BSMBS_9u_I3,=~,0.6304007471134658,0.08826162206298943,7.142410623992038,9.170442183403793e-13,0.7309563090372576,0.5400329430021934,0.5400329430021934,1,1,NA,NA,NA,NA,NA,NA
cfa33,Upward =~ BSMBS_10u_I4,=~,0.8449219660659518,0.07451131373550259,11.339512400294318,0,0.979695922899833,0.7323197277161497,0.7323197277161497,1,1,NA,NA,NA,NA,NA,NA
cfa33,Downward =~ BSMBS_11d_I5,=~,1,0,NA,NA,0.9802665182698872,0.6889125089124339,0.6889125089124339,1,1,NA,NA,NA,NA,NA,NA
cfa33,Downward =~ BSMBS_13d_I6,=~,0.863055497623561,0.09559082680651486,9.028643505411553,0,0.8460244077291331,0.6449994239124456,0.6449994239124456,1,1,NA,NA,NA,NA,NA,NA
cfa33,Downward =~ BSMBS_14d_I7,=~,1.1225717709900518,0.10655608660752311,10.535031894750492,0,1.1004195214564791,0.8178839555361432,0.8178839555361432,1,1,NA,NA,NA,NA,NA,NA
cfa33,Downward =~ BSMBS_18d_I8,=~,0.9348906571342636,0.12627785957840626,7.403440795207551,1.3278267374516872e-13,0.9164420094320515,0.723250205285029,0.723250205285029,1,1,NA,NA,NA,NA,NA,NA
cfa33,BSMBS_4u_I1 ~~ BSMBS_4u_I1,~~,0.4772153764464766,0.10161230689094188,4.6964328539323565,2.647442091108232e-6,0.4772153764464766,0.2619644284522703,0.2619644284522703,1,1,NA,NA,NA,NA,NA,NA
cfa33,BSMBS_8u_I2 ~~ BSMBS_8u_I2,~~,0.8496279032646564,0.13222418358762053,6.425661934237896,1.3129697329361534e-10,0.8496279032646564,0.45150641058390006,0.45150641058390006,1,1,NA,NA,NA,NA,NA,NA
cfa33,BSMBS_9u_I3 ~~ BSMBS_9u_I3,~~,1.2977740042375405,0.14976980247749866,8.665124629729798,0,1.2977740042375405,0.7083644204723898,0.7083644204723898,1,1,NA,NA,NA,NA,NA,NA
cfa33,BSMBS_10u_I4 ~~ BSMBS_10u_I4,~~,0.829899591330047,0.12209619676933826,6.797096169161411,1.067479438177088e-11,0.829899591330047,0.4637078163977443,0.4637078163977443,1,1,NA,NA,NA,NA,NA,NA
