id,low_rep_est1,low_rep_est2,low_rep_est3,low_rep_est4,low_rep_est5,low_rep_est_all,low_rep1,low_rep2,low_rep3,low_rep4,low_rep5,low_rep_all,addiction1,addiction2,addiction3,addiction4,addiction5,addiction6,addiction7,addiction8,dependency1,dependency2,dependency3,dependency4,dependency5,line_time_hour,line_time_minute,extroversion1,extroversion2,network1,network2,network3,network4,lonely1,lonely2,lonely3,lonely4,lonely5,lonely6,rm1,rm2,rm3,rm4,rm5,rm6,rm7,rm8,rm9,rm10,rm11,rm12,sex,age
364,2,2,3,4,3,3,2,3,4,3,3,3,3,4,2,5,5,5,4,4,4,2,3,3,1,0,30,1,1,2,2,2,2,5,4,4,4,3,3,2,2,2,5,5,2,5,2,5,2,5,5,1,44
370,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,3,5,3,6,4,4,2,3,3,1,0,30,3,5,5,5,4,4,3,2,4,2,2,2,4,4,4,5,5,5,3,4,3,4,4,4,1,46
371,2,2,2,2,2,2,1,,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,7,7,4,5,4,7,1,1,1,5,1,1,1,1,1,6,6,1,6,1,6,1,6,3,1,49
375,6,6,6,6,6,6,4,4,4,6,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5,1,1,1,1,1,1,5,5,5,5,5,5,4,4,4,4,4,4,3,4,3,4,3,3,1,47
377,4,4,5,3,3,4,3,3,3,2,3,4,5,5,1,5,5,4,5,5,4,4,4,1,3,1,0,6,5,4,5,4,3,2,2,2,4,4,3,3,3,4,3,3,4,4,4,3,4,3,3,1,39
380,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,2,2,3,0,5,2,4,2,3,3,2,4,3,3,3,3,3,3,3,4,4,4,3,4,3,4,4,4,4,1,36
382,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,4,1,1,1,1,1,1,1,2,0,45,2,1,2,2,2,5,1,1,1,2,2,2,5,4,5,5,5,5,3,5,3,5,3,3,1,52
383,3,3,4,3,3,4,3,4,4,4,3,4,2,2,2,3,2,2,2,2,2,2,2,2,2,0,10,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,5,4,1,66
389,5,5,5,3,3,5,3,4,4,3,3,4,2,2,1,3,6,2,2,2,1,1,1,1,1,0,5,2,3,2,2,2,2,4,2,4,4,4,4,5,5,5,5,6,4,5,5,4,4,5,5,1,47
390,1,1,1,1,1,2,1,1,1,1,1,1,2,6,2,2,6,1,1,1,1,1,1,1,1,0,10,2,4,5,5,5,5,3,3,4,4,4,5,5,5,5,5,4,4,4,5,2,4,3,3,1,51
392,3,3,4,3,3,4,3,3,4,3,3,4,3,2,4,2,5,4,4,3,2,2,4,2,2,1,30,5,5,5,5,5,4,1,2,1,2,2,2,4,5,5,5,4,3,5,4,4,4,4,4,1,41
394,4,4,4,4,4,4,2,2,2,2,2,2,4,4,5,4,5,3,5,3,2,2,2,2,1,0,30,1,4,3,4,3,4,4,4,5,5,5,5,1,2,2,4,5,4,4,4,3,4,3,3,1,56
399,5,4,5,4,5,5,4,4,5,4,4,4,3,2,1,2,6,4,5,4,1,1,2,1,2,0,10,1,2,1,2,2,2,1,1,3,3,3,3,4,4,5,4,3,4,4,3,3,4,3,3,1,35
400,2,2,2,2,2,4,2,2,2,2,2,4,2,2,2,1,2,2,2,2,1,2,2,1,1,0,15,2,3,2,3,3,2,2,2,4,4,4,4,3,3,5,5,4,5,3,2,2,5,3,2,1,42
401,3,3,3,3,3,4,3,3,3,3,3,4,3,4,3,3,3,3,3,3,2,2,2,2,2,0,10,3,5,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,1,53
404,4,4,4,2,3,4,3,4,4,2,2,4,3,3,3,2,5,2,5,5,2,1,3,2,4,0,15,3,2,3,4,3,3,1,2,1,2,2,2,4,4,5,5,3,4,3,3,3,4,3,3,1,40
407,3,4,4,4,4,4,3,4,3,3,4,4,3,4,3,3,5,3,3,3,2,2,2,2,2,0,40,3,3,3,4,5,5,2,2,2,3,3,3,3,3,4,3,4,4,3,4,4,4,4,4,1,41
409,2,2,5,2,3,4,3,3,4,3,3,3,5,6,7,5,5,1,5,5,4,4,4,4,1,1,30,1,7,1,1,3,1,1,1,3,5,5,5,3,1,6,1,3,6,1,1,1,3,3,3,1,42
410,3,4,4,3,3,4,3,4,4,3,3,4,2,3,1,4,3,1,3,2,3,1,2,3,3,0,20,6,5,5,6,5,6,2,2,1,2,2,2,4,4,5,4,4,4,5,4,4,5,4,4,1,40
411,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,4,6,5,5,5,4,3,4,3,2,1,0,3,3,4,2,3,2,2,3,2,3,3,3,3,4,3,3,3,4,3,4,3,4,2,3,1,46
416,5,4,4,3,3,4,3,3,3,2,3,4,2,2,2,3,6,1,5,3,1,2,2,2,4,0,30,6,6,3,5,3,5,1,1,1,4,2,2,4,4,4,5,5,2,4,4,3,4,3,3,1,51
418,3,4,4,4,3,4,3,4,4,4,4,4,2,3,2,3,3,2,3,3,3,1,3,2,2,0,5,2,3,2,3,4,5,3,2,2,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,1,45
422,6,5,5,5,4,4,4,5,5,5,5,5,2,2,6,5,6,1,3,3,4,2,2,4,3,0,10,1,2,5,7,5,6,4,4,3,4,4,5,4,5,4,2,5,5,3,4,3,2,3,3,1,42
424,4,4,4,5,4,4,4,4,4,4,3,4,2,5,3,4,5,3,3,2,2,2,2,2,2,0,10,3,4,3,3,3,5,3,3,2,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,1,38
430,3,3,3,3,3,3,1,1,1,1,1,3,3,3,1,3,4,3,3,2,2,2,2,2,3,0,30,4,3,2,4,5,5,2,2,2,3,2,2,4,4,5,5,4,4,5,4,4,5,4,4,1,46
431,1,3,4,1,3,4,1,3,3,1,1,4,1,1,1,1,5,2,2,3,1,1,2,1,2,0,10,2,1,4,3,2,5,1,1,1,4,3,4,3,3,4,2,3,1,3,2,5,2,4,3,1,57
432,1,1,1,1,1,3,1,1,1,1,1,3,2,2,1,3,4,3,3,3,3,2,2,2,2,1,0,3,5,5,4,5,5,1,2,2,3,2,3,4,3,3,4,4,4,4,4,3,4,3,3,1,81
434,4,4,4,4,4,4,4,4,3,3,3,4,2,3,2,2,3,4,2,2,3,1,2,3,4,0,20,3,3,4,3,4,3,2,2,1,3,2,2,4,3,4,4,4,5,3,3,4,4,4,3,1,40
436,4,4,4,4,4,4,4,4,4,3,4,4,4,3,2,4,4,2,4,3,1,1,3,1,1,0,30,4,4,4,4,4,4,2,2,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,1,59
439,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,4,4,4,4,4,3,3,3,2,3,2,2,5,5,5,5,5,2,5,2,5,2,5,5,1,46
443,4,5,5,3,3,4,3,3,4,3,3,4,2,2,1,5,2,1,3,2,3,2,2,4,2,0,30,5,5,3,3,3,3,4,2,2,4,4,3,3,3,3,4,3,4,3,3,4,3,5,5,1,37
444,3,3,3,3,3,3,2,2,2,2,2,3,2,2,1,3,3,2,2,2,2,2,2,2,1,0,10,2,2,2,2,2,2,2,2,2,3,3,3,5,2,5,5,5,5,4,4,5,5,4,5,1,46
445,4,4,4,4,4,4,4,4,5,4,4,4,2,2,6,3,5,2,1,2,2,1,2,1,3,0,20,3,5,2,2,2,2,2,2,3,3,3,3,3,3,4,4,3,3,4,3,3,4,3,3,1,54
447,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,1,20,7,1,7,7,7,7,5,5,5,1,1,1,6,6,6,1,1,6,1,6,1,6,1,1,1,57
448,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,5,3,3,3,2,2,2,2,2,1,0,4,5,4,4,3,4,2,2,2,3,2,3,4,2,4,4,4,4,3,3,3,3,3,4,1,65
450,2,2,2,2,2,4,2,2,2,2,2,4,3,2,2,2,3,2,1,2,2,2,2,2,1,0,30,2,2,2,3,2,3,1,2,2,2,2,1,5,5,5,5,5,3,3,5,3,5,3,3,1,37
453,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,2,2,2,2,0,30,3,3,4,3,3,3,2,2,2,3,3,3,4,4,4,4,4,3,4,4,3,4,3,3,1,49
456,3,4,4,3,3,4,3,3,3,3,3,4,2,2,2,3,5,2,2,2,2,4,3,2,2,1,0,2,3,2,2,2,2,2,2,3,4,4,4,3,3,4,4,3,3,4,3,3,4,3,3,1,41
457,4,4,4,4,4,4,3,4,4,2,4,4,2,4,2,5,4,4,3,4,3,2,2,3,3,0,10,4,5,6,6,7,6,1,1,2,2,2,2,4,4,3,4,5,3,5,3,2,4,3,3,1,59
459,4,4,4,4,4,4,1,3,3,3,2,4,2,2,1,2,3,1,1,1,1,1,2,1,2,0,0,5,3,2,2,4,2,1,1,1,1,1,2,4,4,4,5,5,4,5,4,3,5,4,5,1,56
465,3,3,3,3,3,4,3,3,3,3,3,4,3,2,2,3,4,2,2,1,2,1,2,2,2,0,30,3,3,4,4,4,5,2,3,2,3,2,2,3,3,3,4,3,3,3,3,3,3,3,3,1,32
466,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,6,2,2,2,2,2,2,2,2,2,0,10,2,2,2,2,2,2,2,2,2,4,2,2,3,4,4,3,3,3,3,3,3,3,3,3,1,59
472,4,4,4,3,3,4,3,4,4,3,3,3,2,2,2,2,4,3,3,3,1,1,2,1,2,1,0,4,4,4,4,4,4,2,2,2,3,3,3,4,4,5,4,4,3,4,4,3,4,4,4,1,73
473,4,3,3,3,3,4,3,3,3,3,3,4,2,2,2,2,3,2,2,2,2,2,2,2,1,0,10,4,4,4,4,5,4,2,2,2,2,3,3,4,4,4,3,4,4,3,3,3,3,3,3,1,67
478,3,4,4,4,4,4,3,4,4,3,4,4,2,2,1,4,5,3,2,2,2,2,2,2,3,1,0,4,4,4,5,5,5,2,2,2,3,3,3,3,3,4,3,3,4,4,3,3,4,3,3,1,61
479,2,2,2,3,3,3,2,1,2,2,2,4,3,5,5,3,6,3,3,3,3,3,4,4,2,1,0,7,3,6,6,7,6,2,1,2,1,1,1,5,5,4,5,5,3,4,4,3,5,4,2,1,29
