ID,BSMBS_1u,BSMBS_2u,BSMBS_3u,BSMBS_4u,BSMBS_5u,BSMBS_6u,BSMBS_7u,BSMBS_8u,BSMBS_9u,BSMBS_10u,BSMBS_11d,BSMBS_12d,BSMBS_13d,BSMBS_14d,BSMBS_15d,BSMBS_16d,BSMBS_17d,BSMBS_18d,BSMBS_19d,BSMBS_20d,SMBS_1,SMBS_2,SMBS_3,SMBS_4,SMBS_5,SMBS_6,SMBS_7,SMBS_8,SEIS_1,SEIS_2,SEIS_3,SEIS_4,SEIS_5,AC_1,Gender,Age,Nacionality,Marital_Status,Education,Occupation,Household_Income,Household_members_1,SSS,PoliticalOrientation
62,4,3,3,4,5,3,5,3,4,4,3,4,4,4,4,4,3,4,3,4,2,5,3,4,5,5,3,3,2,6,6,2,7,5,2,43,1,1,7,5,3000,1,6,2
63,2,7,1,3,2,1,1,2,5,2,3,3,1,2,4,2,5,3,4,6,1,1,1,5,7,1,1,1,7,1,1,1,1,5,1,47,1,2,7,5,2600,3,9,4
64,2,5,4,3,2,3,3,3,2,4,5,6,5,5,6,5,3,6,5,5,5,1,1,2,3,2,5,5,1,7,7,1,7,5,2,39,1,2,7,5,1990,1,4,2
65,2,4,2,2,2,3,5,1,1,2,2,4,4,4,5,4,3,5,1,4,2,1,1,2,3,5,4,3,1,7,7,1,7,5,2,52,1,2,7,5,2500,2,7,2
66,5,7,5,2,5,5,5,5,5,6,1,2,1,4,3,3,4,1,2,3,2,6,2,6,5,6,3,2,2,3,3,2,6,5,1,57,1,3,6,5,400000,5,8,5
67,5,7,6,5,6,5,7,5,6,5,2,2,1,2,2,2,1,1,2,2,1,5,1,5,4,6,2,1,6,2,2,6,4,5,1,46,1,3,7,5,0,4,8,NA
68,5,6,3,2,4,5,5,2,2,5,3,1,3,2,2,2,3,3,3,2,3,1,1,3,1,5,3,2,1,6,6,1,6,5,1,34,1,2,7,5,2600,3,4,2
69,3,6,3,3,5,5,7,3,5,3,7,2,5,5,4,4,1,5,3,6,5,2,5,2,3,3,5,5,1,7,7,1,7,5,1,38,1,1,6,5,35000,1,5,2
70,4,4,1,2,3,2,6,2,2,4,4,2,2,2,2,1,2,1,2,4,3,2,2,2,4,5,4,5,2,6,6,1,7,5,1,31,1,2,5,3,850,1,4,2
71,3,3,3,4,3,2,3,3,2,2,4,4,4,3,4,4,2,4,4,3,5,2,5,2,2,2,6,6,2,5,7,2,6,5,1,25,1,1,6,2,20000,3,3,2
72,2,2,3,3,3,2,6,2,2,4,5,5,4,3,5,1,1,1,3,4,1,4,1,6,4,6,1,1,1,5,4,1,7,5,2,28,1,2,7,4,1500,2,7,1
