model,term,op,estimate,std.error,statistic,p.value,std.lv,std.all,std.nox,parameter,conf.low,conf.high,method,alternative
sem7,low_rep_est ~1 ,~1,4.148015393541312,0.3293503170780444,12.594538940608881,0,4.148015393541312,3.4388953719526887,3.4388953719526887,NA,NA,NA,NA,NA
sem7,rm ~1 ,~1,3.6760385005065856,0,NA,NA,3.6760385005065856,6.981735692906567,3.6760385005065856,NA,NA,NA,NA,NA
sem7,age ~1 ,~1,47.4483282674772,0,NA,NA,47.4483282674772,4.014547016772807,47.4483282674772,NA,NA,NA,NA,NA
cor.test1,NA,NA,0.06976856432165467,NA,2.2576323732740806,0.024174901773747315,NA,NA,NA,1042,0.00913513998775036,0.12989082923697495,Pearson's product-moment correlation,two.sided
cor.test2,NA,NA,0.26825901413049674,NA,8.988878582360094,1.1499545281385604e-18,NA,NA,NA,1042,0.21102147156147863,0.32366321810958953,Pearson's product-moment correlation,two.sided
cor.test3,NA,NA,0.06638431635514776,NA,2.1476247617624344,0.031973685223462285,NA,NA,NA,1042,0.005735322948748685,0.12654672066163447,Pearson's product-moment correlation,two.sided
cor.test4,NA,NA,-0.18171000663113093,NA,-5.9649063144995145,3.349285222420506e-9,NA,NA,NA,1042,-0.2397390426803164,-0.12238719859680348,Pearson's product-moment correlation,two.sided
lm1,(Intercept),NA,2.1856728133781665e-16,0.02131154192168448,1.0255817347285633e-14,0.9999999999999918,NA,NA,NA,NA,NA,NA,NA,NA
lm1,rm,NA,-0.08449540769839632,0.021316647094094882,-3.9638226089413076,7.624463799916996e-5,NA,NA,NA,NA,NA,NA,NA,NA
lm1,estimation,NA,0.21414324679277072,0.021316647094095,10.04582220869488,3.205242323129387e-23,NA,NA,NA,NA,NA,NA,NA,NA
lm1,1 | idTRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm1,rm:estimation,NA,-0.005896836106884175,0.02132175348944773,-0.27656431305251494,0.7821420954942482,NA,NA,NA,NA,NA,NA,NA,NA
lm2,(Intercept),NA,3.5931408495458145e-16,0.02685019066686148,1.3382180015505332e-14,0.9999999999999893,NA,NA,NA,NA,NA,NA,NA,NA
lm2,rm,NA,-0.10969334549265333,0.026908897593804815,-4.076471178734123,4.8473601182356455e-5,NA,NA,NA,NA,NA,NA,NA,NA
lm2,estimation,NA,0.1921274032452671,0.026860397924659087,7.152812991980482,1.4094648498418333e-12,NA,NA,NA,NA,NA,NA,NA,NA
lm2,1 | idTRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm2,age,NA,-0.06553666189005795,0.026908897593804812,-2.4355015534024087,0.01500370099362268,NA,NA,NA,NA,NA,NA,NA,NA
lm2,rm:estimation,NA,-0.005915497147105721,0.02687060906280585,-0.2201474902663788,0.8257905650864316,NA,NA,NA,NA,NA,NA,NA,NA
lm3,(Intercept),NA,0.0022813428504896097,0.029374104343256737,0.07766510337917167,0.9381094359303084,NA,NA,NA,NA,NA,NA,NA,NA
lm3,rm,NA,-0.007109430093636707,0.029594122314121084,-0.24023115192182545,0.8101985449770912,NA,NA,NA,NA,NA,NA,NA,NA
lm3,low_rep_est,NA,0.15389659062105693,0.0295512125427125,5.207792756341862,2.3039976511278029e-7,NA,NA,NA,NA,NA,NA,NA,NA
lm3,age,NA,-0.08777565857692775,0.029455929133583064,-2.979897805255569,0.0029506612801519154,NA,NA,NA,NA,NA,NA,NA,NA
lm3,network,NA,0.2757882515331101,0.029372943027525935,9.389193696888452,3.710449453452814e-20,NA,NA,NA,NA,NA,NA,NA,NA
lm3,low_rep_est:age,NA,0.03009023645552196,0.029673278570461353,1.014051628439726,0.31079465254436056,NA,NA,NA,NA,NA,NA,NA,NA
lm3,age:network,NA,-0.036604650462705925,0.028818983464109296,-1.2701575858250786,0.2043134160098833,NA,NA,NA,NA,NA,NA,NA,NA
