model,term,op,estimate,std.error,statistic,p.value,std.lv,std.all,std.nox,parameter,conf.low,conf.high,method,alternative
sem5,low_rep_est ~~ low_rep_est,~~,1.1516515507796956,0.06078184412279106,18.947295321496618,0,1.1516515507796956,0.9982218321830997,0.9982218321830997,NA,NA,NA,NA,NA
sem5,addiction ~~ addiction,~~,0.8616446154224763,0.045475863483528375,18.94729532149662,0,0.8616446154224763,0.9343565192684836,0.9343565192684836,NA,NA,NA,NA,NA
sem5,rm ~~ rm,~~,0.20502003786438655,0,NA,NA,0.20502003786438655,1,0.20502003786438655,NA,NA,NA,NA,NA
sem5,rm ~~ age,~~,0.2959254402640162,0,NA,NA,0.2959254402640162,0.05491044374802092,0.2959254402640162,NA,NA,NA,NA,NA
sem5,age ~~ age,~~,141.66363738642622,0,NA,NA,141.66363738642622,1,141.66363738642622,NA,NA,NA,NA,NA
sem5,extroversion ~1 ,~1,2.2699067580321266,0.36837364297680514,6.161968428819031,7.184617345501465e-10,2.2699067580321266,1.8401212365013453,1.8401212365013453,NA,NA,NA,NA,NA
sem5,low_rep_est ~1 ,~1,3.5196346905955656,0.3230532438573164,10.894905894057793,0,3.5196346905955656,3.2768048161939123,3.2768048161939123,NA,NA,NA,NA,NA
sem5,rm ~1 ,~1,3.624187558031569,0,NA,NA,3.624187558031569,8.004100082754174,3.624187558031569,NA,NA,NA,NA,NA
sem5,age ~1 ,~1,49.3133704735376,0,NA,NA,49.3133704735376,4.143196130561962,49.3133704735376,NA,NA,NA,NA,NA
sem6,lonely ~ rm,~,-0.26750782058082634,0.04196908486771653,-6.37392550788256,1.842501706761368e-10,-0.26750782058082634,-0.19353824237238626,-0.41991974230852014,NA,NA,NA,NA,NA
sem6,low_rep_est ~ rm,~,-0.10126154190855018,0.07213641444437352,-1.4037506949646892,0.16039310068519042,-0.10126154190855018,-0.04340405078018191,-0.09417372812392762,NA,NA,NA,NA,NA
sem6,addiction ~ lonely,~,0.06929578798316946,0.044103110186958776,1.5712222491660037,0.11613103377222522,0.06929578798316946,0.047921510456022894,0.047921510456022894,NA,NA,NA,NA,NA
sem6,addiction ~ low_rep_est,~,0.1394383301473229,0.026129111047673986,5.336512592904905,9.475129436609109e-8,0.1394383301473229,0.1627610251543552,0.1627610251543552,NA,NA,NA,NA,NA
sem6,lonely ~~ lonely,~~,0.3906254154848926,0.01709720996388942,22.847319317591737,0,0.3906254154848926,0.9625429487394075,0.9625429487394075,NA,NA,NA,NA,NA
sem6,low_rep_est ~~ low_rep_est,~~,1.1540127341442639,0.050509765198392925,22.847319317591705,0,1.1540127341442639,0.9981160883758714,0.9981160883758714,NA,NA,NA,NA,NA
sem6,addiction ~~ addiction,~~,0.8240407063414471,0.03606728189363378,22.847319317591776,0,0.8240407063414471,0.9710813362947328,0.9710813362947328,NA,NA,NA,NA,NA
sem6,rm ~~ rm,~~,0.2124227362891032,0,NA,NA,0.2124227362891032,1,0.2124227362891032,NA,NA,NA,NA,NA
sem7,lonely ~ rm,~,-0.2674347735929538,0.05123056640366552,-5.220218950650114,1.7871172186545436e-7,-0.2674347735929538,-0.19122185492973642,-0.4223177858098529,NA,NA,NA,NA,NA
sem7,low_rep_est ~ rm,~,-0.10003114373187064,0.08845047541485548,-1.1309282766734587,0.2580852806466032,-0.10003114373187064,-0.04216832717692607,-0.09312970304157173,NA,NA,NA,NA,NA
sem7,addiction ~ lonely,~,0.05638016120344654,0.055105165473926396,1.0231374993352198,0.3062428389491658,0.05638016120344654,0.037436814636023115,0.037436814636023115,NA,NA,NA,NA,NA
