country,ccias.rich,ccias.poor,ccias.fatal,Between.Inequality.Wide,Between.Redistribution,Between.Migration,Between.Fairness,Moralization,Moral.Outrage,Position.Own.Country,General.Trust.Inst,trust.institution,Horizontal.Trust,zero.sum,meritocracy,social.dominance,eco.system.just,identif.country,identif.world,subjective.ses,Pol.Orientation,Age,Gender,Education,Gender_fac
uk,3,2,3,3,1,1,3,3,3,5,1,1,3,3,3,225,32,5,3,7,9,63,1,14,1
uk,4,1,1,4,3,5,2,4,3,5,5,325,4,4,4,1,11,4,5,4,3,42,1,17,1
uk,4,4,2,5,1,4,1,4,1,4,4,1,4,2,3,15,25,5,5,7,1,57,1,19,1
uk,4,3,2,5,4,4,2,5,4,5,4,35,4,3,3,1,17,3,4,7,3,30,1,18,1
uk,4,3,3,4,2,3,4,3,2,4,5,45,4,4,4,25,32,6,3,8,9,65,1,21,1
uk,4,1,2,4,3,4,2,4,4,5,5,35,4,3,2,1,21,4,5,6,3,76,1,12,1
uk,3,2,2,3,2,4,2,4,3,5,3,275,4,2,3,35,27,4,2,5,6,33,1,12,1
uk,4,3,2,5,5,5,1,5,4,4,4,3,2,4,4,175,22,5,4,6,5,29,1,16,1
uk,4,1,3,4,1,4,3,4,1,4,3,35,4,3,4,15,35,5,2,7,7,70,1,11,1
uk,4,2,3,5,4,4,2,4,3,3,4,325,3,4,3,15,24,7,4,4,6,36,2,15,2
uk,5,1,2,5,2,4,1,5,3,5,5,2,2,4,3,175,16,3,5,4,4,31,1,17,1
uk,5,3,3,4,1,3,1,4,1,5,3,1,2,5,4,3,28,3,2,5,6,27,1,10,1
uk,3,2,2,5,2,4,1,5,3,5,3,25,2,2,2,175,17,5,5,6,5,34,1,20,1
uk,5,4,3,5,4,2,2,3,2,5,5,325,5,5,4,2,2,4,3,9,4,38,1,11,1
uk,4,2,2,4,2,3,2,4,2,5,4,375,4,4,3,325,29,7,2,7,9,59,1,13,1
uk,4,2,1,4,4,4,2,2,4,3,4,35,3,4,3,15,21,3,3,6,4,40,2,17,2
uk,4,2,2,5,4,3,1,1,3,4,4,375,4,4,4,125,21,5,3,4,6,42,1,15,1
uk,4,3,2,5,3,4,2,4,3,5,5,325,3,3,4,1,21,7,6,4,5,42,1,21,1
uk,5,1,1,5,5,5,1,5,5,5,3,3,1,5,4,1,28,2,4,6,1,38,2,17,2
uk,4,2,1,5,4,4,2,5,4,5,5,425,4,2,3,225,19,3,5,7,5,51,1,12,1
uk,3,2,1,5,4,4,3,3,3,4,2,325,3,2,4,225,3,7,5,5,8,33,2,16,2
uk,3,4,1,1,1,5,5,1,1,5,5,2,1,5,5,5,46,6,4,3,9,37,1,12,1
uk,3,3,2,2,2,2,3,4,2,4,2,325,3,2,4,25,28,5,4,6,7,30,1,15,1
uk,3,3,3,4,2,2,3,4,2,4,4,275,4,4,3,35,31,4,3,5,6,30,1,16,1
uk,4,2,1,4,1,4,2,2,2,1,4,325,4,4,3,175,32,3,3,6,7,37,1,15,1
uk,4,3,2,4,4,4,2,4,3,4,5,275,3,4,4,25,27,5,4,7,7,66,1,20,1
uk,3,3,1,4,1,1,3,3,3,4,3,25,3,3,4,125,24,3,2,5,7,56,1,13,1
uk,3,1,1,4,2,3,2,4,3,5,3,375,4,2,4,15,25,6,5,3,8,54,1,20,1
uk,4,2,2,5,3,5,2,4,3,5,5,325,3,5,2,1,2,4,2,3,3,33,1,17,1
uk,4,2,2,4,2,3,2,3,3,5,3,3,4,3,4,2,26,3,2,5,6,52,1,13,1
uk,2,3,3,4,1,3,2,3,2,3,3,3,3,2,3,275,32,7,5,6,9,54,1,14,1
uk,4,1,1,5,5,5,1,5,4,5,5,325,4,4,2,1,15,3,5,3,4,51,1,21,1
uk,3,3,3,4,3,3,2,4,3,5,3,325,3,2,3,25,26,5,3,5,7,34,1,16,1
uk,5,1,3,5,4,5,1,5,5,1,5,325,4,3,3,125,16,3,3,6,2,41,1,18,1
uk,4,2,4,4,2,3,2,3,2,5,4,275,2,2,2,15,23,5,2,5,6,31,2,16,2
uk,4,3,1,3,1,4,3,3,2,5,5,475,4,3,4,275,35,5,3,8,8,53,1,13,1
uk,4,3,3,5,1,4,2,4,2,4,5,5,1,3,4,1,25,6,4,6,7,42,1,14,1
uk,5,3,3,4,5,5,2,4,3,3,5,175,2,5,4,175,27,3,2,6,6,26,1,18,1
uk,4,1,3,5,4,5,1,4,3,4,5,325,2,3,3,125,19,5,3,5,2,35,1,15,1
uk,4,2,2,5,5,5,1,5,4,1,5,425,3,5,4,1,18,3,3,4,4,51,1,18,1
uk,5,3,4,4,1,3,1,4,2,5,3,1,2,5,4,225,26,3,3,4,7,28,1,12,1
uk,3,3,2,3,1,2,3,3,1,5,5,3,2,2,4,375,42,7,4,6,8,54,1,16,1
uk,5,1,2,5,1,5,3,3,1,4,5,4,4,3,4,1,21,7,2,1,6,51,1,16,1
uk,4,3,2,4,2,5,2,3,4,5,5,425,2,3,4,175,28,6,3,5,7,30,1,17,1
uk,4,2,1,4,3,3,2,4,4,5,5,225,3,3,3,2,21,4,5,8,3,57,1,16,1
uk,4,2,2,5,5,3,1,5,4,3,4,325,3,4,3,15,22,3,2,3,6,34,1,16,1
uk,3,2,3,4,3,4,2,4,3,5,5,45,3,2,3,15,27,5,3,5,4,61,1,16,1
uk,2,4,5,1,1,1,3,4,1,5,1,1,1,1,1,475,35,4,2,9,8,36,1,22,1
uk,5,1,1,5,4,5,1,4,3,4,4,5,3,5,3,125,27,4,2,6,5,32,1,17,1
uk,5,1,2,5,5,5,1,5,5,1,5,3,4,5,2,1,12,3,7,7,2,61,1,18,1
uk,3,4,2,5,2,2,1,5,3,4,3,225,3,1,3,25,15,5,4,6,1,47,1,19,1
uk,3,3,3,4,3,2,3,3,2,4,3,3,3,4,4,225,33,7,3,6,9,51,1,18,1
uk,4,2,1,5,5,4,1,4,4,5,4,45,4,4,3,2,29,2,4,7,6,53,1,15,1
uk,2,3,2,4,1,3,3,3,2,4,4,325,2,3,4,15,25,3,2,4,3,29,1,14,1
uk,2,3,2,2,1,2,3,3,1,4,3,425,3,1,5,275,39,7,4,7,9,30,1,18,1
uk,4,2,3,4,2,4,3,3,2,1,5,35,4,2,2,225,19,3,3,7,4,62,1,16,1
uk,3,4,3,4,1,4,3,3,2,3,2,1,2,4,4,225,3,4,2,4,7,60,1,12,1
uk,4,3,2,4,3,3,3,4,3,4,4,3,3,2,3,25,25,3,4,6,4,35,1,20,1
uk,5,2,1,5,4,4,1,5,2,1,4,25,3,5,2,1,17,5,3,7,2,41,1,21,1
uk,4,2,3,4,4,4,2,4,3,3,4,325,2,2,4,175,26,3,2,4,4,43,1,11,1
uk,2,3,3,5,1,3,3,3,1,1,5,1,4,1,5,3,26,6,3,4,7,60,1,16,1
uk,5,2,3,5,3,3,1,5,4,5,3,325,1,5,4,1,27,6,2,3,6,34,1,13,1
uk,5,1,2,5,2,4,2,4,3,5,5,375,4,4,3,125,26,5,5,6,6,48,1,10,1
uk,5,2,2,5,4,4,1,4,4,5,5,35,4,3,3,275,21,3,3,5,4,53,1,15,1
uk,4,2,3,4,2,3,3,3,3,4,3,25,3,2,3,1,25,3,2,7,7,35,1,16,1
uk,4,3,2,5,4,5,1,5,3,5,3,425,1,4,4,175,26,5,2,9,7,31,1,16,1
uk,4,2,3,4,2,4,2,4,4,4,4,375,3,4,3,175,2,5,3,7,7,55,1,13,1
uk,3,1,2,5,4,5,2,4,2,5,5,45,4,2,3,1,17,5,3,3,5,36,1,11,1
uk,3,4,3,3,2,3,3,3,2,3,4,325,3,3,3,275,33,7,2,5,7,63,1,11,1
uk,3,2,1,3,2,3,3,3,3,4,4,2,2,2,3,25,27,3,3,5,6,55,1,20,1
uk,4,1,1,5,5,5,1,5,5,5,5,325,3,5,2,1,11,4,5,4,4,24,1,17,1
uk,4,1,3,4,3,3,2,4,3,5,5,275,2,3,3,15,21,5,3,4,7,41,1,14,1
uk,5,1,3,5,4,5,2,4,4,5,5,45,3,3,3,1,2,5,3,4,7,63,1,12,1
uk,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,3,5,5,7,8,38,1,18,1
uk,4,2,4,5,4,3,2,3,3,5,5,35,3,1,4,25,31,7,4,6,7,61,1,18,1
uk,3,3,2,4,3,4,2,3,3,4,4,375,3,4,4,25,3,4,3,6,6,37,2,19,2
uk,4,3,3,5,5,5,4,4,3,5,3,375,3,3,4,125,37,5,3,6,6,36,1,20,1
uk,3,2,4,4,2,3,2,3,3,4,4,175,2,1,4,225,29,2,1,2,5,43,1,13,1
uk,5,1,1,5,1,3,1,5,5,5,1,1,1,5,1,25,11,1,1,5,6,37,1,18,1
uk,4,3,2,5,4,3,1,5,5,5,5,45,3,5,4,175,33,6,4,6,6,36,1,13,1
uk,5,2,1,5,3,3,1,4,4,5,4,15,3,4,4,3,21,4,2,4,6,55,1,17,1
ita,4,2,3,5,3,4,2,3,3,4,5,4,3,3,3,225,29,5,4,7,4,23,1,17,1
ita,5,1,2,5,3,5,1,5,4,5,5,3,4,4,3,175,17,4,6,4,3,22,2,16,2
ita,5,1,1,5,5,5,1,5,5,4,5,375,2,5,1,1,1,6,5,6,2,24,2,18,2
ita,5,2,1,5,4,4,5,4,3,5,5,35,4,4,4,175,21,7,5,7,4,28,2,22,2
ita,4,2,1,5,4,5,2,4,4,4,4,325,2,4,3,15,3,4,3,7,4,21,2,16,2
