model,term,estimate,std.error,statistic,p.value,op,std.lv,std.all,std.nox,parameter,conf.low,conf.high,method,alternative
cfa2,ccias.fatal ~~ ccias.fatal,0,0,NA,NA,~~,0,0,0,NA,NA,NA,NA,NA
cfa2,rich ~~ rich,1,0,NA,NA,~~,1,1,1,NA,NA,NA,NA,NA
cfa2,poor ~~ poor,1,0,NA,NA,~~,1,1,1,NA,NA,NA,NA,NA
cfa2,fatal ~~ fatal,1,0,NA,NA,~~,1,1,1,NA,NA,NA,NA,NA
cfa2,rich ~~ poor,-0.3633576024000582,0.05698510451353718,-6.376361077195888,1.8134516110990262e-10,~~,-0.3633576024000582,-0.3633576024000582,-0.3633576024000582,NA,NA,NA,NA,NA
cfa2,rich ~~ fatal,-0.14460458521320466,0.06428037576260305,-2.2495914732553963,0.02447489022491034,~~,-0.14460458521320466,-0.14460458521320466,-0.14460458521320466,NA,NA,NA,NA,NA
cfa2,poor ~~ fatal,0.1767737780181123,0.06360162113149719,2.7793910732657303,0.005446091532094632,~~,0.1767737780181123,0.1767737780181123,0.1767737780181123,NA,NA,NA,NA,NA
cfa3,rich =~ ccias.rich,0.6141791238396253,0.02746692542533327,22.3606797749979,0,=~,0.6141791238396253,1,1,NA,NA,NA,NA,NA
cfa3,poor =~ ccias.poor,0.8370328515104809,0.03743324710755847,22.360679774997887,0,=~,0.8370328515104809,1,1,NA,NA,NA,NA,NA
cfa3,fatal =~ ccias.fatal,0.8156567944440969,0.03647728077373148,22.360679774997887,0,=~,0.8156567944440969,1,1,NA,NA,NA,NA,NA
cfa3,ccias.rich ~~ ccias.rich,0,0,NA,NA,~~,0,0,0,NA,NA,NA,NA,NA
cfa3,ccias.poor ~~ ccias.poor,0,0,NA,NA,~~,0,0,0,NA,NA,NA,NA,NA
cfa3,ccias.fatal ~~ ccias.fatal,0,0,NA,NA,~~,0,0,0,NA,NA,NA,NA,NA
cfa3,rich ~~ rich,1,0,NA,NA,~~,1,1,1,NA,NA,NA,NA,NA
cfa3,poor ~~ poor,1,0,NA,NA,~~,1,1,1,NA,NA,NA,NA,NA
cfa3,fatal ~~ fatal,1,0,NA,NA,~~,1,1,1,NA,NA,NA,NA,NA
cfa3,rich ~~ poor,-0.2518478932599186,0.059234054647223595,-4.251741582774177,2.1211453335334696e-5,~~,-0.2518478932599186,-0.2518478932599186,-0.2518478932599186,NA,NA,NA,NA,NA
cfa3,rich ~~ fatal,0.001085922233464131,0.06324547862249748,0.017169958345099,0.9863010284233151,~~,0.001085922233464131,0.001085922233464131,0.001085922233464131,NA,NA,NA,NA,NA
cfa3,poor ~~ fatal,0.18389657236246837,0.06110671828999926,3.009432964305742,0.002617358308739215,~~,0.18389657236246837,0.18389657236246837,0.18389657236246837,NA,NA,NA,NA,NA
cor.test1,NA,-0.36335760048835697,NA,-5.914873975188462,1.1935511412035299e-8,NA,NA,NA,NA,230,-0.4701531189702057,-0.24607524254395396,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.14460459312172982,NA,-2.216331947534414,0.027648182886066686,NA,NA,NA,NA,230,-0.2684042695009228,-0.016105889746982672,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.20987343764383595,NA,3.2553905023725407,0.0013030119913138454,NA,NA,NA,NA,230,0.08332721704318949,0.32975827667208457,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.2043234418351402,NA,3.16549959377659,0.0017574753744698044,NA,NA,NA,NA,230,0.07756604178771612,0.3245802701307799,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.20947136971074387,NA,3.248867448176674,0.0013319040693504,NA,NA,NA,NA,230,0.08290956586598229,0.3293833995873551,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.35067692496519454,NA,-5.678909517420446,4.070548518829326e-8,NA,NA,NA,NA,230,-0.4587551326848323,-0.23237381502128043,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.40168110627993087,NA,6.652032374152245,2.086430270803053e-10,NA,NA,NA,NA,230,0.2877705268105625,0.5043849246257424,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.33218412040114315,NA,5.341119424389353,2.216497923329274e-7,NA,NA,NA,NA,230,0.2124762148705408,0.4420689304970086,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.0341509979271121,NA,-0.518227817439474,0.6047974883342506,NA,NA,NA,NA,230,-0.16223605950600567,0.09506583258705674,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.15901908391765784,NA,2.4427262611298923,0.015330706212368886,NA,NA,NA,NA,230,0.03085231024224184,0.28204114672865416,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.028598423530231804,NA,0.38170668462332336,0.7031342197661721,NA,NA,NA,NA,178,-0.11815914134370814,0.17413335802508806,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.2606694849854224,NA,-4.094813965288196,5.8532822453942795e-5,NA,NA,NA,NA,230,-0.37681695007843774,-0.13645203617373267,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.47034586085384367,NA,8.083050787358822,3.5825591678939237e-14,NA,NA,NA,NA,230,0.3635723736279828,0.5649216258767639,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.20197259628746092,NA,-3.127520611790635,0.0019903859981438175,NA,NA,NA,NA,230,-0.3223848150119966,-0.07512829528892108,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.18451312801144748,NA,-2.8471658322937996,0.004810015609892567,NA,NA,NA,NA,230,-0.3060387760092948,-0.05707074322302302,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.2902112743260415,NA,-4.599209932613522,7.0037002491391064e-6,NA,NA,NA,NA,230,-0.4039121842204683,-0.16768029340395385,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.02151308797237282,NA,-0.32633765841025913,0.7444656459883887,NA,NA,NA,NA,230,-0.14989642003345907,0.10758368468987795,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.03509344632053634,NA,-0.5325464945405983,0.59486165743403,NA,NA,NA,NA,230,-0.16315466262011058,0.09413069706197853,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.09535213833326418,NA,-1.4527058791588612,0.14766833003281418,NA,NA,NA,NA,230,-0.2214313627074022,0.03386240727845883,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.1121530921929502,NA,-1.7116849810565553,0.08830274168752994,NA,NA,NA,NA,230,-0.23752073849648445,0.0168895539116834,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.06130879292333019,NA,0.9315462621568245,0.3525478464414451,NA,NA,NA,NA,230,-0.06802705575985434,0.18861804581763747,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.19770602518865277,NA,3.0587356181466645,0.002486180519371288,NA,NA,NA,NA,230,0.07070787627565604,0.31839695166519305,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.042302204711998276,NA,0.6421194848080897,0.5214350888586328,NA,NA,NA,NA,230,-0.0869703239379296,0.17017369245354635,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.17677377164163724,NA,2.723802766668272,0.0069488594415457365,NA,NA,NA,NA,230,0.04909285529555424,0.298769982400943,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.19799722499754183,NA,-3.0634244904766774,0.002449069087019596,NA,NA,NA,NA,230,-0.31866926515190563,-0.07100941791318872,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.14563786555247837,NA,-2.2325106924566644,0.02654474482376861,NA,NA,NA,NA,230,-0.26938345407709535,-0.017161099196651073,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.23962280560241642,NA,-3.743111349525094,2.2966783241355372e-4,NA,NA,NA,NA,230,-0.3573912766924334,-0.1143534333631109,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.3987677455567915,NA,6.594623422778618,2.8913128997065336e-10,NA,NA,NA,NA,230,0.28458560388772913,0.501793904539337,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.20151468857273278,NA,-3.1201294865072913,0.0020389035225773303,NA,NA,NA,NA,230,-0.32195702411634686,-0.07465363699178244,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.18261635246329685,NA,-2.816882097017592,0.005270721170681305,NA,NA,NA,NA,230,-0.30425863660292046,-0.055114001138580594,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.09790237282321955,NA,1.4919301950337864,0.13708776632705222,NA,NA,NA,NA,230,-0.03129086915231203,0.2238780128281854,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.037062346186721606,NA,-0.5624647480586208,0.5743472065120225,NA,NA,NA,NA,230,-0.16507303033572385,0.09217633867031753,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.07641585060294084,NA,-1.0225043758464554,0.3079298847090023,NA,NA,NA,NA,178,-0.22021782905999504,0.07063696411267967,Pearson's product-moment correlation,two.sided
