model,term,op,estimate,std.error,statistic,p.value,std.lv,std.all,std.nox,block,group,label,parameter,conf.low,conf.high,method,alternative
cfa22,BSMBS_4u_I1 ~~ BSMBS_4u_I1,~~,2.0004747658089337,0.19902867208163724,10.05118883066447,0,2.0004747658089337,1.0029631272777635,1.0029631272777635,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_8u_I2 ~~ BSMBS_8u_I2,~~,1.8560579528250287,0.11038550619567092,16.814326597687145,0,1.8560579528250287,1.0004088980642731,1.0004088980642731,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_9u_I3 ~~ BSMBS_9u_I3,~~,1.886165111223264,2.281775873152169,0.826621550966622,0.4084515984399124,1.886165111223264,1.0347135025448853,1.0347135025448853,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_10u_I4 ~~ BSMBS_10u_I4,~~,1.9790409220955893,0.65731323512921,3.0108033983319435,0.0026055749728393085,1.9790409220955893,1.009676153580048,1.009676153580048,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_11d_I5 ~~ BSMBS_11d_I5,~~,2.1501705118817798,0.2329620260576768,9.22970386319288,0,2.1501705118817798,0.9579778610640106,0.9579778610640106,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_13d_I6 ~~ BSMBS_13d_I6,~~,1.4755230692077244,1.0226161063089616,1.4428905041731532,0.1490513185414124,1.4755230692077244,0.7532240481128926,0.7532240481128926,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_14d_I7 ~~ BSMBS_14d_I7,~~,1.8909307475772756,0.12943030252713933,14.609644810038048,0,1.8909307475772756,0.9991967706046417,0.9991967706046417,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_18d_I8 ~~ BSMBS_18d_I8,~~,1.4953038598940551,0.19128300177696633,7.817233345373581,5.3290705182007514e-15,1.4953038598940551,0.9727503423876073,0.9727503423876073,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Upward ~~ Upward,~~,-0.005910148823850401,0.15970196175842677,-0.03700736521189633,0.9704791331748404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Downward ~~ Downward,~~,0.09431821721433951,0.21173336236274773,0.4454575139308977,0.6559891566158138,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Upward ~~ Downward,~~,0.03168427193999793,0.11763900860113242,0.26933474122879447,0.7876720999524474,1.3419821276318697,1.3419821276318697,1.3419821276318697,NA,NA,NA,NA,NA,NA,NA,NA
cfa33,Upward =~ BSMBS_4u_I1,=~,1,0,NA,NA,0.019585677166584943,0.013552285949487866,0.013552285949487866,1,1,NA,NA,NA,NA,NA,NA
cfa33,Upward =~ BSMBS_8u_I2,=~,1.1361701131836326,0.8433448594573465,1.3472188754606338,0.17790975052198132,0.022252661043136904,0.015721300252945766,0.015721300252945766,1,1,NA,NA,NA,NA,NA,NA
