model,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative
cor.test1,-0.2614781776245137,-3.052922450444171,0.0027609626634609126,127,-0.4155506469804869,-0.09281899651625516,Pearson's product-moment correlation,two.sided
cor.test1,-0.24604315828082346,-2.8607069288230456,0.004944076577760463,127,-0.4018087587497025,-0.0764397308562753,Pearson's product-moment correlation,two.sided
cor.test1,-0.08699998260227082,-0.9841716820965648,0.32690234095718973,127,-0.2560044846483686,0.08716521805571106,Pearson's product-moment correlation,two.sided
cor.test1,-0.25303136159033346,-2.9474337921583085,0.003814039131667115,127,-0.40803910049264613,-0.08384411890456274,Pearson's product-moment correlation,two.sided
cor.test1,-0.0887630613388178,-1.004272996838423,0.31715666859902697,127,-0.257664081182605,0.08540164477925355,Pearson's product-moment correlation,two.sided
cor.test1,-0.3817082930140551,-4.654023406946226,8.067995615004349e-6,127,-0.5202374341532001,-0.22360752503480194,Pearson's product-moment correlation,two.sided
cor.test1,0.5555740808578198,7.530066266893682,8.270241413403933e-12,127,0.4233781484134608,0.664604247436771,Pearson's product-moment correlation,two.sided
cor.test1,0.3762380777605516,4.576235783436702,1.1117133467762384e-5,127,0.2175306731153543,0.5155631209143441,Pearson's product-moment correlation,two.sided
cor.test1,0.5645978896715789,7.708936638191251,3.1962719634461734e-12,127,0.43410966808353024,0.6718812201070121,Pearson's product-moment correlation,two.sided
cor.test1,0.27221036682153993,3.1880426561031006,0.001803764797313305,127,0.10426178972446092,0.42506430203331325,Pearson's product-moment correlation,two.sided
cor.test1,0.614149686197977,8.769902454762253,9.94360532572402e-15,127,0.4937064199858507,0.7114749768694743,Pearson's product-moment correlation,two.sided
cor.test1,0.6073220418958378,8.614918867706406,2.3390170200472543e-14,127,0.48542694406899084,0.7060558930405403,Pearson's product-moment correlation,two.sided
cor.test1,0.6438696591307144,9.48334703199329,1.864237455029034e-16,127,0.530002243972072,0.7349295482158645,Pearson's product-moment correlation,two.sided
cor.test1,-0.2856195162629937,-3.358680715694629,0.001034157377012868,127,-0.4369037062731255,-0.11862155006007313,Pearson's product-moment correlation,two.sided
cor.test1,-0.21648033095580085,-2.498865070273175,0.013735579563519925,127,-0.37529146578979905,-0.04532187468374772,Pearson's product-moment correlation,two.sided
