model,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative
cor.test1,0.5956238337335976,9.437816786014062,4.01652395849891e-17,162,0.4868095757670861,0.6862347079961666,Pearson's product-moment correlation,two.sided
cor.test1,0.5381914139061417,8.127520604684602,1.0679922741531884e-13,162,0.41954463287800614,0.6387579670598276,Pearson's product-moment correlation,two.sided
cor.test1,0.2671894700505723,3.5290695510920043,5.429504074541555e-4,162,0.11880422938400416,0.4039009257139974,Pearson's product-moment correlation,two.sided
cor.test1,0.46088998082907673,6.6100891620939795,5.290295824668963e-10,162,0.33102051419387024,0.5736240360669211,Pearson's product-moment correlation,two.sided
cor.test1,0.6133705247271072,9.884754108757752,2.5226592781732493e-18,162,0.5078588414335304,0.7007505839562461,Pearson's product-moment correlation,two.sided
cor.test1,0.4706069178284064,6.788571256805727,2.0335583452322691e-10,162,0.34202395336924624,0.5818905906234927,Pearson's product-moment correlation,two.sided
cor.test1,-0.2771475698162538,-3.6713282719849434,3.2725441520305983e-4,162,-0.41286203747842637,-0.12939338508654552,Pearson's product-moment correlation,two.sided
cor.test1,-0.4293480268463352,-6.050793389364798,9.659014511485665e-9,162,-0.5466309453743773,-0.29554422016331683,Pearson's product-moment correlation,two.sided
cor.test1,-0.36136859475960215,-4.932815982979296,1.99401627803871e-6,162,-0.4876145379794898,-0.22031995877057162,Pearson's product-moment correlation,two.sided
cor.test1,-0.2725247150769029,-3.6051319674993163,4.1494959223558903e-4,162,-0.4087052800694439,-0.12447338039165713,Pearson's product-moment correlation,two.sided
cor.test1,-0.31185163919840875,-4.177554625960245,4.804380676862913e-5,162,-0.44388759408348083,-0.16656195101409899,Pearson's product-moment correlation,two.sided
cor.test1,-0.42170339932419465,-5.919496777587849,1.869590562675688e-8,162,-0.5400518946728239,-0.2870012535094542,Pearson's product-moment correlation,two.sided
cor.test1,-0.1309774494523461,-1.6815567954550377,0.09458159343283656,162,-0.27863450823533226,0.022728654981865392,Pearson's product-moment correlation,two.sided
cor.test1,-0.32946721924543826,-4.4414102839024,1.6483787515454105e-5,162,-0.45951578161900863,-0.1855878104609637,Pearson's product-moment correlation,two.sided
cor.test1,-0.26476517165015595,-3.4946233803513227,6.123964811152504e-4,162,-0.40171536559402565,-0.11623139924272007,Pearson's product-moment correlation,two.sided
cor.test1,-0.2988917602383752,-3.986506104769019,1.0121723152021132e-4,162,-0.4323383355527556,-0.15263325777234266,Pearson's product-moment correlation,two.sided
cor.test1,0.6208010357256211,10.078862399500306,7.5123919945122175e-19,162,0.5167097157111723,0.7068069446000196,Pearson's product-moment correlation,two.sided
cor.test1,0.42501222393870436,5.976134009102204,1.407598807289195e-8,162,0.2906962781821331,0.5429012820279782,Pearson's product-moment correlation,two.sided
cor.test1,0.5359081092555436,8.079104570572404,1.4177012346251043e-13,162,0.4168970853645779,0.6368545016924251,Pearson's product-moment correlation,two.sided
cor.test1,0.3470170903226945,4.709457813649057,5.3071037413930024e-06,162,0.2046505876748495,0.4750060026738821,Pearson's product-moment correlation,two.sided
cor.test1,0.6023503601244773,9.604563754457756,1.4356005634146573e-17,162,0.49477303233385933,0.6917451655687104,Pearson's product-moment correlation,two.sided
cor.test1,0.6173789448122801,9.988930612244008,1.3176313100651608e-18,162,0.5126307167445402,0.704019278212028,Pearson's product-moment correlation,two.sided
cor.test1,0.6180824343909628,10.007342650419435,1.1745571535266415e-18,162,0.5134688629911592,0.7045925653190319,Pearson's product-moment correlation,two.sided
cor.test1,-0.2966981428409159,-3.954412849286274,1.1443049849694538e-4,162,-0.4303791405869155,-0.1502813925454986,Pearson's product-moment correlation,two.sided
cor.test1,-0.23524309803896007,-3.0806082697206336,0.0024277123005275267,162,-0.3749747788483749,-0.08505969475170604,Pearson's product-moment correlation,two.sided
cor.test1,-0.339174108372039,-4.589000995663286,8.882131239638518e-6,162,-0.4680932608122627,-0.19611812508838167,Pearson's product-moment correlation,two.sided
cor.test1,-0.2918165413354208,-3.88323884338384,1.498306571984557e-4,162,-0.4260146897800066,-0.14505357221434248,Pearson's product-moment correlation,two.sided
cor.test1,-0.15302928461710433,-1.970959449446022,0.05043223139689647,162,-0.29926098799616063,2.2590168426872345e-4,Pearson's product-moment correlation,two.sided
